Date,Adj Close,Close,High,Low,Open,Volume
2022-02-11,68391.3046875,74900.0,75500.0,74600.0,75000.0,12205407
2022-02-14,67295.578125,73700.0,74500.0,73100.0,74400.0,13993255
2022-02-15,67295.578125,73700.0,74200.0,73100.0,74100.0,9320365
2022-02-16,68300.0,74800.0,74900.0,74200.0,74600.0,10767386
2022-02-17,68482.6171875,75000.0,75600.0,74500.0,75000.0,13605382
2022-02-18,67843.4453125,74300.0,74800.0,73700.0,74600.0,10122226
2022-02-21,67843.4453125,74300.0,74300.0,74300.0,74300.0,0
2022-02-22,67843.4453125,74300.0,74300.0,74300.0,74300.0,0
2022-02-23,67843.4453125,74300.0,74300.0,74300.0,74300.0,0
2022-02-24,65286.75,71500.0,72300.0,71300.0,72300.0,15759283
2022-02-25,65651.9921875,71900.0,72600.0,71900.0,72100.0,13168484
2022-02-28,65651.9921875,71900.0,71900.0,71900.0,71900.0,0
2022-03-02,65469.390625,71700.0,72400.0,71500.0,72300.0,12481430
2022-03-03,66565.0859375,72900.0,73100.0,72200.0,72300.0,13232638
2022-03-04,66565.0859375,72900.0,72900.0,72900.0,72900.0,0
2022-03-07,64008.41796875,70100.0,70600.0,69900.0,70000.0,18617138
2022-03-08,63460.55078125,69500.0,70000.0,68700.0,68800.0,15828269
2022-03-10,63460.55078125,69500.0,69500.0,69500.0,69500.0,0
2022-03-11,63917.11328125,70000.0,70700.0,69700.0,70500.0,15787655
2022-03-14,64099.72265625,70200.0,70200.0,69600.0,70000.0,9040993
2022-03-15,64099.72265625,70200.0,70200.0,70200.0,70200.0,0
2022-03-16,64282.34375,70400.0,70500.0,69700.0,70200.0,10175750
2022-03-17,64282.34375,70400.0,70400.0,70400.0,70400.0,0
2022-03-18,64556.265625,70700.0,70900.0,70200.0,70600.0,14410038
2022-03-21,63825.78515625,69900.0,71000.0,69900.0,70900.0,11169002
2022-03-22,64191.046875,70300.0,70500.0,69900.0,69900.0,9402666
2022-03-23,64373.6640625,70500.0,71200.0,70300.0,70600.0,12398025
2022-03-24,63734.49609375,69800.0,70300.0,69600.0,69600.0,37943357
2022-03-25,63734.49609375,69800.0,70200.0,69600.0,70100.0,12986010
2022-03-28,63643.1796875,69700.0,69900.0,69200.0,69500.0,12619289
2022-03-29,64099.72265625,70200.0,70300.0,69800.0,70000.0,13686208
2022-03-30,64155.71875,69900.0,70500.0,69800.0,70300.0,12670187
2022-03-31,63880.3671875,69600.0,70200.0,69600.0,69900.0,12510366
2022-04-01,63421.4453125,69100.0,69500.0,69000.0,69500.0,15916846
2022-04-04,63605.00390625,69300.0,69300.0,68600.0,68900.0,11107905
2022-04-05,63513.234375,69200.0,69600.0,69100.0,69400.0,8467248
2022-04-06,62870.76953125,68500.0,68800.0,68500.0,68600.0,15517308
2022-04-07,62411.859375,68000.0,68500.0,68000.0,68500.0,20683327
2022-04-08,62228.29296875,67800.0,68300.0,67700.0,68100.0,15453191
2022-04-11,62320.06640625,67900.0,68100.0,67400.0,67800.0,12263735
2022-04-12,61494.03125,67000.0,67700.0,67000.0,67600.0,13924389
2022-04-13,63054.328125,68700.0,69000.0,67200.0,67300.0,17378619
2022-04-14,61952.93359375,67500.0,68700.0,67500.0,68700.0,16409494
2022-04-15,61126.90234375,66600.0,67300.0,66500.0,67200.0,13176415
